what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351015220938
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1351015221141
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1351015221198
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1351015221229
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1351015221236
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1351015221245
started,bundle,org.python.pydev.core,2.6.0.2012062818,"org.python.pydev.core",1351015221307
started,bundle,org.python.pydev.debug,2.6.0.2012062818,"org.python.pydev.debug",1351015221312
started,bundle,com.python.pydev.analysis,2.6.0.2012062818,"com.python.pydev.analysis",1351015221431
started,bundle,org.python.pydev,2.6.0.2012062818,"org.python.pydev",1351015221450
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1351015523497
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1351015523667
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1351015523712
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1351015523713
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1351015526638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015572508
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1351015572840
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351015572876
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1351015572884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015588933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015588941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015588982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015607566
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1351015607607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015612746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015769854
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351015770947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015777250
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1351015907808
